Número do Anúncio;Data de Publicação;Objeto do Procedimento;Entidade(s);Preço Base;CPVs;Tipo de Ato;Modelo do Anúncio;Tipo de Contrato;Diário da República;Série;Ligação para Peças;ID do Procedimento;maximumEstimatedValueUnderFrameworkAgreement
440/2026;09-01-2026;051/2025 Aquisição de serviços para a remoção de bens e limpeza dos fogos devolutos em edifícios do parque habitacional no concelho de Cascais;"Cascais Envolvente, Gestão Social da Habitação, E.M., S.A (504538314)";"25.000,00 €";"90911000-6, Serviços de limpeza de alojamentos, edifícios e janelas";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjEzNw;8566727;false
441/2026;09-01-2026;ASSISTÊNCIA TÉCNICA AOS PRODUTOS E EQUIPAMENTOS DE SEGURANÇA CONTRA INCÊNDIO EM EDIFÍCIOS (SCIE) PARA O INEM;"Instituto Nacional de Emergência Médica, IP (501356126)";"82.350,00 €";"50413200-5, Serviços de reparação e manutenção de equipamento de combate a incêndios";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTQ0Nw;8566726;false
442/2026;09-01-2026;"Execução de Muro no Covelo em Rubiães, Saneamento de Raízes e Repavimentação da Travessa de Sabariz em Romarigães, Repavimentação da Rua da Telhada e Rua do Meijal em São Martinho de Coura";Município de Paredes de Coura (506632938);"61.193,50 €";"45262510-9, Obras em pedra";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://community.vortal.biz/Public/public-tender-documents/bXd4YWNya05MY293bStSa3A2dWxhQWliV3ArZGNMMHVhU3ZQVzZIRWJVRU9DYVdnVlZxaXNjZ093KzF4Unk2WTRZdVBTOVNXWHB3UWZKWkovalYxY2c9PUJNXlF3;8566725;false
443/2026;09-01-2026;Prestação de serviços de manutenção corretiva de válvulas das estações elevatórias de Pedrogão - Margem Direita e dos Caliços-Grande Reparação;EDIA-EMPRESA DE DESENVOLVIMENTO E INFRA-ESTRUTURAS (503450189);"90.000,00 €";"50512000-7, Serviços de reparação e manutenção de válvulas";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/NjZicklUR2c2WW1RWVlNd2dZK0N3OWc4VjhwZTN0a1pIZ21HdEF1UjNXTGdsVU80eUpGaW93ZHcxb1FlZ2xzeUh3eFJQdGNEMk1PSllybzVZVXlFK0E9PXNtaWYr;8566724;false
446/2026;09-01-2026;Centro de Saúde de Santo António - Implementação de Medidas de Melhoria Energética;Secretaria Regional de Equipamentos e Infraestruturas (671001329);"105.000,00 €";"45310000-3, Obras de instalação eléctrica";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzOTU5Mg;8566723;false
447/2026;09-01-2026;"CP/262/2026 Aquisição de Alimentação Entérica, para a ULSTMAD, EPE";"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE (508100496)";"220.412,00 €";"33600000-6, Produtos farmacêuticos";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/UmhNMVk0M1J6aEludHZKMzNWSHVhQVIwbjNUU3YvTjBEMTBLdjVPQm9CcGM5b3hFeEZVTVR3SUR4SmxQNkQ3NnBOWmlBODhOVlZxbVRqRU10Nitub1E9PWN1Uzko;8566721;false
449/2026;09-01-2026;AQUISIÇÃO DE COMPUTADORES PORTÁTEIS;"Pombal Prof - Sociedade de Educação e Ensino Profissional, SA (504609696)";"72.535,75 €";"30213100-6, Computadores portáteis";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MDgyOA;8566719;false
450/2026;09-01-2026;CPBL2602 - SISTEMA DE PRODUÇÃO DE BLOCOS E ROLHAS AGLOMERADAS DE CORTIÇA;Centro Formação Profissional Indústria de Cortiça (900220538);"215.885,00 €";"42642300-1, Máquinas-ferramentas para trabalhar cortiça";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.compraspt.com/cpt-cincork/faces/app/acessoDocs.jsp?codigoAcesso=p1rnMF7gUMFz3FzSscukLvs6QANMA0S643GMZRFid3aR8Zpegr;8566718;false
451/2026;09-01-2026;Aquisição de Serviços de Transportes;Agrupamento de Escolas de Arganil (600084469);"80.000,00 €";"60130000-8, Serviços de transporte rodoviário de passageiros com finalidade específica";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/L1lEQ0xnaWdZc3BiREYwNnBmdkRJakNqWlN3Wk84N3JUMm5BbjVtU3Y3aHNVdERIWm91NDF1VXpkYkpTV1Q4U3ppUEtyU0lYMGlRS2tFbnBsS1BDMWc9PTJAZilo;8566717;false
452/2026;09-01-2026;REAGENTES PARA IMUNOHISTOQUÍMICA;"Unidade Local de Saúde do Baixo Alentejo, EPE (508754275)";"95.445,00 €";"33696500-0, Reagentes de laboratório";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/MVRmZmtrNFY1eGVDSHlNVkp1a1oyQzd2S1VrZWx3VGxhc2xybkltU0tCYVhybWM5cUp3c21YU1JNa01uR0hQWUZzak90a1VFSlhIakwyWjR4VFF4ZGc9PU40X0JO;8566716;false
